,title,price,link
0,"Lenovo V14
                                        Intel Core i5 13th Gen 14"" FHD (1920x1080) Antiglare 250 Nits Thin and Light
                                        Laptop (16GB RAM/512GB SSD/Windows 11 Home/Office 2024/Iron Grey/1.43 kg),
                                        83A0A0PTIN","47,990",https://amazon.in//Lenovo-1920x1080-Antiglare-Windows-83A0A0PTIN/dp/B0FNS3DM56/ref=sr_1_17?crid=BRIHOKR3DFIP&dib=eyJ2IjoiMSJ9.-pHuGMubnTtFejBeRwkv1C4crEoIRwv2OU-aWS3tnqXm7HdolD6Q19RHeZzkjdsGjtBWOyVTqKrsHD4uonBjNOprilriFE2Bl-gew3JQ8evR_k79vGGXZiX9kMZji4cJmbIHMP8ce4uWEliMe_-BwHBOjnFfzM1xclE5EzSJHOQ-ASGH2o5qTP77SrLucqtE7C-36zc2ykPLQjQ7wmE2hVsSAxYuQoYCTml-m61d_Os.ANsOfbTzTxfFEtfqwU1kjEJ59PKTss72wiCJiQ1dd5Q&dib_tag=se&keywords=laptop&qid=1762966204&sprefix=lap%2Caps%2C866&sr=8-17
1,"Lenovo IdeaPad Slim 3 13th Gen Intel Core i5-13420H 15.3""(38.8cm) WUXGA IPS Laptop(16GB RAM/512GB SSD/Win 11/Office Home 2024/Backlit/1Yr ADP Free/Top Metal Cover & IR Camera/Grey/1.6Kg), 83K100CGIN","55,951",https://amazon.in//Lenovo-IdeaPad-i5-13420H-Backlit-83K100CGIN/dp/B0F637DPFW/ref=sr_1_18?crid=BRIHOKR3DFIP&dib=eyJ2IjoiMSJ9.-pHuGMubnTtFejBeRwkv1C4crEoIRwv2OU-aWS3tnqXm7HdolD6Q19RHeZzkjdsGjtBWOyVTqKrsHD4uonBjNOprilriFE2Bl-gew3JQ8evR_k79vGGXZiX9kMZji4cJmbIHMP8ce4uWEliMe_-BwHBOjnFfzM1xclE5EzSJHOQ-ASGH2o5qTP77SrLucqtE7C-36zc2ykPLQjQ7wmE2hVsSAxYuQoYCTml-m61d_Os.ANsOfbTzTxfFEtfqwU1kjEJ59PKTss72wiCJiQ1dd5Q&dib_tag=se&keywords=laptop&qid=1762966204&sprefix=lap%2Caps%2C866&sr=8-18
2,"acer Aspire Go 14, Intel Core Ultra 5 125H (14th Gen),16GB DDR5 RAM/512GB SSD, WUXGA IPS, 14.0""/35.56 cm, Win 11, MS Office, Steel Gray, 1.5 kg, AG14-71M,Backlit Keyboard, AI Powered Premium Laptop","57,999",https://amazon.in//acer-AG14-71M-Backlit-Keyboard-Powered/dp/B0FDL57MKD/ref=sr_1_27?crid=BRIHOKR3DFIP&dib=eyJ2IjoiMSJ9.-pHuGMubnTtFejBeRwkv1C4crEoIRwv2OU-aWS3tnqXm7HdolD6Q19RHeZzkjdsGjtBWOyVTqKrsHD4uonBjNOprilriFE2Bl-gew3JQ8evR_k79vGGXZiX9kMZji4cJmbIHMP8ce4uWEliMe_-BwHBOjnFfzM1xclE5EzSJHOQ-ASGH2o5qTP77SrLucqtE7C-36zc2ykPLQjQ7wmE2hVsSAxYuQoYCTml-m61d_Os.ANsOfbTzTxfFEtfqwU1kjEJ59PKTss72wiCJiQ1dd5Q&dib_tag=se&keywords=laptop&qid=1762966204&sprefix=lap%2Caps%2C866&sr=8-27
3,"Lenovo IdeaPad Slim 5 Ryzen 7 7735HS (16GB RAM/512GB SSD/Integrated AMD Radeon 680M Graphics/WUXGA IPS Display/13.3"" (33.7cm)/Windows 11/Office Home 2024/Backlit KB/Grey/1.15Kg), 83J2000HIN Laptop","59,699",https://amazon.in//Lenovo-IdeaPad-Integrated-Graphics-83J2000HIN/dp/B0DVGF96B4/ref=sr_1_123?crid=BRIHOKR3DFIP&dib=eyJ2IjoiMSJ9.f3Z6J48oYWTu16dqgoOT4nl2nHeEGUP9apeq2NtUss1-uCO5roBxhtLx7djmAELGkvSifwBBq-OayNzYyBSB2dqt38c0Yo3IrifSrgIHNbJo788xBVSOFaNEfg3BCgq2c-pMMp57s3f_NwBbfPB-0UXXNrGxb2JQicc-aZ4pwD06u6ihqLzhAMJxKFhETKSWxVLcRb9copQ_2Z0-P9vxWuJlbVXUzanFlUSSRrcb9kA.qygJ5vygXwHy-L_H-JS-sLZcbIKfdYfZIcGThPW8fDg&dib_tag=se&keywords=laptop&qid=1762966254&sprefix=lap%2Caps%2C866&sr=8-123
4,"Primebook 2 Max 2025 (New Launch) | 8GB RAM, 256GB UFS Storage | 15.6-Inch Full HD IPS Display | 12hrs Battery | MediaTek Helio G99 | Android 15 (PrimeOS 3.0) | Backlit Keyboard | in-Built AI","20,990",https://amazon.in//Primebook-Storage-15-6-Inch-MediaTek-Keyboard/dp/B0FFMQB3KL/ref=sr_1_125?crid=BRIHOKR3DFIP&dib=eyJ2IjoiMSJ9.f3Z6J48oYWTu16dqgoOT4nl2nHeEGUP9apeq2NtUss1-uCO5roBxhtLx7djmAELGkvSifwBBq-OayNzYyBSB2dqt38c0Yo3IrifSrgIHNbJo788xBVSOFaNEfg3BCgq2c-pMMp57s3f_NwBbfPB-0UXXNrGxb2JQicc-aZ4pwD06u6ihqLzhAMJxKFhETKSWxVLcRb9copQ_2Z0-P9vxWuJlbVXUzanFlUSSRrcb9kA.qygJ5vygXwHy-L_H-JS-sLZcbIKfdYfZIcGThPW8fDg&dib_tag=se&keywords=laptop&qid=1762966254&sprefix=lap%2Caps%2C866&sr=8-125
5,"Acer Aspire Lite, Intel Core i3 13th Gen - 1305U, 16GB RAM, 512GB SSD, Full HD 15.6""/39.62 cm, Windows 11 Home, Steel Gray, 1.59 KG, AL15-53, Metal Body, 36 WHR, Thin and Light Premium Laptop","34,990",https://amazon.in//Acer-Aspire-Lite-Intel-Core/dp/B0DKK15M2P/ref=sr_1_126?crid=BRIHOKR3DFIP&dib=eyJ2IjoiMSJ9.f3Z6J48oYWTu16dqgoOT4nl2nHeEGUP9apeq2NtUss1-uCO5roBxhtLx7djmAELGkvSifwBBq-OayNzYyBSB2dqt38c0Yo3IrifSrgIHNbJo788xBVSOFaNEfg3BCgq2c-pMMp57s3f_NwBbfPB-0UXXNrGxb2JQicc-aZ4pwD06u6ihqLzhAMJxKFhETKSWxVLcRb9copQ_2Z0-P9vxWuJlbVXUzanFlUSSRrcb9kA.qygJ5vygXwHy-L_H-JS-sLZcbIKfdYfZIcGThPW8fDg&dib_tag=se&keywords=laptop&qid=1762966254&sprefix=lap%2Caps%2C866&sr=8-126
6,"Lenovo V15 Intel Celeron N4500 15.6"" (39.62 cm) FHD (1920x1080) Antiglare 250 Nits Thin and Light Laptop (8GB RAM/256GB SSD/Windows 11 Home/Black/1Y Onsite/1.7 kg), 82QYA00MIN","24,990",https://amazon.in//Lenovo-Celeron-1920x1080-Antiglare-82QYA00MIN/dp/B0C28FKJXG/ref=sr_1_128?crid=BRIHOKR3DFIP&dib=eyJ2IjoiMSJ9.f3Z6J48oYWTu16dqgoOT4nl2nHeEGUP9apeq2NtUss1-uCO5roBxhtLx7djmAELGkvSifwBBq-OayNzYyBSB2dqt38c0Yo3IrifSrgIHNbJo788xBVSOFaNEfg3BCgq2c-pMMp57s3f_NwBbfPB-0UXXNrGxb2JQicc-aZ4pwD06u6ihqLzhAMJxKFhETKSWxVLcRb9copQ_2Z0-P9vxWuJlbVXUzanFlUSSRrcb9kA.qygJ5vygXwHy-L_H-JS-sLZcbIKfdYfZIcGThPW8fDg&dib_tag=se&keywords=laptop&qid=1762966254&sprefix=lap%2Caps%2C866&sr=8-128
7,Timus Berlin Black Professional Laptop Bag for Men & Women 23 L with 15.6 Inch Laptop Compartment | Water resistant with USB Port Anti-Theft Backpack| Premium Polyester Fabric,"5,880",https://amazon.in//sspa/click?ie=UTF8&spc=MTo0NDEzNzU4OTIyMzAwNTcyOjE3NjI5NjYyNTQ6c3Bfc2VhcmNoX3RoZW1hdGljX2J0ZjozMDA3Njc0MDY2ODcxMzI6OjA6Og&url=%2FTimus-Repellent-Anti-Theft-Backpack-Professionals%2Fdp%2FB0CRBDFM2V%2Fref%3Dsxbs_pa_sp_search_thematic_btf_sspa%3Fcontent-id%3Damzn1.sym.1ee134bc-32b2-41b4-b087-995ae57bc094%253Aamzn1.sym.1ee134bc-32b2-41b4-b087-995ae57bc094%26crid%3DBRIHOKR3DFIP%26cv_ct_cx%3Dlaptop%26keywords%3Dlaptop%26pd_rd_i%3DB0CRBDFM2V%26pd_rd_r%3Dbe6d8922-91cd-4a4b-bd89-cabc4dd63cca%26pd_rd_w%3DEqR0K%26pd_rd_wg%3DTT2tL%26pf_rd_p%3D1ee134bc-32b2-41b4-b087-995ae57bc094%26pf_rd_r%3D4A5CV7KEKBJ0W1XMWAGJ%26qid%3D1762966254%26sbo%3DRZvfv%252F%252FHxDF%252BO5021pAnSA%253D%253D%26sprefix%3Dlap%252Caps%252C866%26sr%3D1-113-39d2cf51-924d-44a4-921d-0c8fa4cce3c9-spons%26aref%3DMademS1wlC%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9zZWFyY2hfdGhlbWF0aWNfYnRm%26psc%3D1&aref=MademS1wlC&sp_cr=ZAZ
8,Pramadda Pure Luxury Vegan Leather 15.6 inch laptop messenger office bag for men and women | Premium Corporate Crossbody Shoulder Handbags | Corporate Gift item,"1,399",https://amazon.in//sspa/click?ie=UTF8&spc=MTo0NDEzNzU4OTIyMzAwNTcyOjE3NjI5NjYyNTQ6c3Bfc2VhcmNoX3RoZW1hdGljX2J0ZjozMDA1OTY2OTAzNTMwMzI6OjE6Og&url=%2FPramadda-Pure-Luxury-messenger-Corporate%2Fdp%2FB0D3PWJLM8%2Fref%3Dsxbs_pa_sp_search_thematic_btf_sspa%3Fcontent-id%3Damzn1.sym.1ee134bc-32b2-41b4-b087-995ae57bc094%253Aamzn1.sym.1ee134bc-32b2-41b4-b087-995ae57bc094%26crid%3DBRIHOKR3DFIP%26cv_ct_cx%3Dlaptop%26keywords%3Dlaptop%26pd_rd_i%3DB0D3PWJLM8%26pd_rd_r%3Dbe6d8922-91cd-4a4b-bd89-cabc4dd63cca%26pd_rd_w%3DEqR0K%26pd_rd_wg%3DTT2tL%26pf_rd_p%3D1ee134bc-32b2-41b4-b087-995ae57bc094%26pf_rd_r%3D4A5CV7KEKBJ0W1XMWAGJ%26qid%3D1762966254%26sbo%3DRZvfv%252F%252FHxDF%252BO5021pAnSA%253D%253D%26sprefix%3Dlap%252Caps%252C866%26sr%3D1-114-39d2cf51-924d-44a4-921d-0c8fa4cce3c9-spons%26aref%3DvfBWsU6fZA%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9zZWFyY2hfdGhlbWF0aWNfYnRm%26psc%3D1&aref=vfBWsU6fZA&sp_cr=ZAZ
9,Timus Tokyo Black Professional Laptop Backpack for Men & Women 28 L with 15.6 Inch Laptop Compartment | Water resistant with USB Port Anti-Theft Bag | Premium Polyester Fabric,"5,594",https://amazon.in//sspa/click?ie=UTF8&spc=MTo0NDEzNzU4OTIyMzAwNTcyOjE3NjI5NjYyNTQ6c3Bfc2VhcmNoX3RoZW1hdGljX2J0ZjozMDA3NjczMjA0ODg1MzI6OjI6Og&url=%2FTimus-Backpack-Digital-Compartment-Polyester%2Fdp%2FB0CRDRHKLQ%2Fref%3Dsxbs_pa_sp_search_thematic_btf_sspa%3Fcontent-id%3Damzn1.sym.1ee134bc-32b2-41b4-b087-995ae57bc094%253Aamzn1.sym.1ee134bc-32b2-41b4-b087-995ae57bc094%26crid%3DBRIHOKR3DFIP%26cv_ct_cx%3Dlaptop%26keywords%3Dlaptop%26pd_rd_i%3DB0CRDRHKLQ%26pd_rd_r%3Dbe6d8922-91cd-4a4b-bd89-cabc4dd63cca%26pd_rd_w%3DEqR0K%26pd_rd_wg%3DTT2tL%26pf_rd_p%3D1ee134bc-32b2-41b4-b087-995ae57bc094%26pf_rd_r%3D4A5CV7KEKBJ0W1XMWAGJ%26qid%3D1762966254%26sbo%3DRZvfv%252F%252FHxDF%252BO5021pAnSA%253D%253D%26sprefix%3Dlap%252Caps%252C866%26sr%3D1-115-39d2cf51-924d-44a4-921d-0c8fa4cce3c9-spons%26aref%3D207iRjFO33%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9zZWFyY2hfdGhlbWF0aWNfYnRm%26psc%3D1&aref=207iRjFO33&sp_cr=ZAZ
